Team win;Composition B;Composition R;Type victoire;Nb tours;Nb vertes retournées;Nb où rouge pioché chez un bleu;Nb où bleu pioché chez un rouge1;[AgentCommon, AgentCommon, AgentCommon, AgentCommon];[AgentCommon];0;2;5;-1;-1
1;[AgentCommon, AgentCommon, AgentCommon, AgentCommon, AgentCommon, AgentCommon];[AgentCommon, AgentCommon];0;3;8;-1;-1
0;[AgentCommon, AgentCommon, AgentCommon, AgentCommon, AgentCommon, AgentCommon];[AgentCommon, AgentCommon];2;2;5;-1;-1
1;[AgentCommon, AgentCommon, AgentCommon, AgentCommon, AgentCommon, AgentCommon];[AgentCommon, AgentCommon];0;3;8;-1;-1
1;[AgentCommon, AgentCommon, AgentCommon, AgentCommon, AgentCommon, AgentCommon];[AgentCommon, AgentCommon];0;3;8;-1;-1
1;[AgentCommon, AgentCommon, AgentCommon, AgentCommon, AgentCommon, AgentCommon];[AgentCommon, AgentCommon];0;4;8;-1;-1
0;[AgentCommon, AgentCommon, AgentCommon, AgentCommon, AgentCommon, AgentCommon];[AgentCommon, AgentCommon];2;3;7;-1;-1
0;[AgentCommon, AgentCommon, AgentCommon, AgentCommon, AgentCommon, AgentCommon];[AgentCommon, AgentCommon];2;1;0;-1;-1
1;[AgentCommon, AgentCommon, AgentCommon, AgentCommon, AgentCommon, AgentCommon];[AgentCommon, AgentCommon];0;5;8;-1;-1
1;[AgentCommon, AgentCommon, AgentCommon, AgentCommon, AgentCommon, AgentCommon];[AgentCommon, AgentCommon];0;3;8;-1;-1
0;[AgentCommon, AgentCommon, AgentCommon, AgentCommon, AgentCommon, AgentCommon];[AgentCommon, AgentCommon];2;2;2;-1;-1
1;[AgentCommon, AgentCommon, AgentCommon, AgentCommon, AgentCommon, AgentCommon];[AgentCommon, AgentCommon];0;2;8;-1;-1
1;[AgentCommon, AgentCommon, AgentCommon, AgentCommon, AgentCommon, AgentCommon];[AgentCommon, AgentCommon];0;3;8;-1;-1
0;[AgentCommon, AgentCommon, AgentCommon, AgentCommon, AgentCommon, AgentCommon];[AgentCommon, AgentCommon];1;5;6;-1;-1
0;[AgentCommon, AgentCommon, AgentCommon, AgentCommon, AgentCommon, AgentCommon];[AgentCommon, AgentCommon];2;1;0;-1;-1
0;[AgentCommon, AgentCommon, AgentCommon, AgentCommon, AgentCommon, AgentCommon];[AgentCommon, AgentCommon];2;1;0;-1;-1
0;[AgentCommon, AgentCommon, AgentCommon, AgentCommon, AgentCommon, AgentCommon];[AgentCommon, AgentCommon];2;1;0;-1;-1
0;[AgentCommon, AgentCommon, AgentCommon, AgentCommon, AgentCommon, AgentCommon];[AgentCommon, AgentCommon];2;3;4;-1;-1
1;[AgentCommon, AgentCommon, AgentCommon, AgentCommon, AgentCommon, AgentCommon];[AgentCommon, AgentCommon];0;3;8;-1;-1
0;[AgentCommon, AgentCommon, AgentCommon, AgentCommon, AgentCommon, AgentCommon];[AgentCommon, AgentCommon];2;1;0;-1;-1
1;[AgentCommon, AgentCommon, AgentCommon, AgentCommon, AgentCommon, AgentCommon];[AgentCommon, AgentCommon];0;4;8;-1;-1
0;[AgentCommon, AgentCommon, AgentCommon, AgentCommon, AgentCommon, AgentCommon];[AgentCommon, AgentCommon];2;2;2;-1;-1
1;[AgentCommon, AgentCommon, AgentCommon, AgentCommon, AgentCommon, AgentCommon];[AgentCommon, AgentCommon];0;3;8;-1;-1
1;[AgentCommon, AgentCommon, AgentCommon, AgentCommon, AgentCommon, AgentCommon];[AgentCommon, AgentCommon];0;2;8;-1;-1
1;[AgentCommon, AgentCommon, AgentCommon, AgentCommon, AgentCommon, AgentCommon];[AgentCommon, AgentCommon];0;5;8;-1;-1
0;[AgentCommon, AgentCommon, AgentCommon, AgentCommon, AgentCommon, AgentCommon];[AgentCommon, AgentCommon];2;2;3;-1;-1
1;[AgentCommon, AgentCommon, AgentCommon, AgentCommon, AgentCommon, AgentCommon];[AgentCommon, AgentCommon];0;2;8;-1;-1
1;[AgentCommon, AgentCommon, AgentCommon, AgentCommon, AgentCommon, AgentCommon];[AgentCommon, AgentCommon];0;2;8;-1;-1
0;[AgentCommon, AgentCommon, AgentCommon, AgentCommon, AgentCommon, AgentCommon];[AgentCommon, AgentCommon];2;3;4;-1;-1
0;[AgentCommon, AgentCommon, AgentCommon, AgentCommon, AgentCommon, AgentCommon];[AgentCommon, AgentCommon];2;1;0;-1;-1
1;[AgentCommon, AgentCommon, AgentCommon, AgentCommon, AgentCommon, AgentCommon];[AgentCommon, AgentCommon];0;3;8;-1;-1
0;[AgentCommon, AgentCommon, AgentCommon, AgentCommon, AgentCommon, AgentCommon];[AgentCommon, AgentCommon];2;1;1;-1;-1
0;[AgentCommon, AgentCommon, AgentCommon, AgentCommon, AgentCommon, AgentCommon];[AgentCommon, AgentCommon];2;2;5;-1;-1
0;[AgentCommon, AgentCommon, AgentCommon, AgentCommon, AgentCommon, AgentCommon];[AgentCommon, AgentCommon];2;2;3;-1;-1
0;[AgentCommon, AgentCommon, AgentCommon, AgentCommon, AgentCommon, AgentCommon];[AgentCommon, AgentCommon];2;3;7;-1;-1
0;[AgentCommon, AgentCommon, AgentCommon, AgentCommon, AgentCommon, AgentCommon];[AgentCommon, AgentCommon];2;3;7;-1;-1
0;[AgentCommon, AgentCommon, AgentCommon, AgentCommon, AgentCommon, AgentCommon];[AgentCommon, AgentCommon];2;2;3;-1;-1
0;[AgentCommon, AgentCommon, AgentCommon, AgentCommon, AgentCommon, AgentCommon];[AgentCommon, AgentCommon];2;2;3;-1;-1
0;[AgentCommon, AgentCommon, AgentCommon, AgentCommon, AgentCommon, AgentCommon];[AgentCommon, AgentCommon];2;2;3;-1;-1
0;[AgentCommon, AgentCommon, AgentCommon, AgentCommon, AgentCommon, AgentCommon];[AgentCommon, AgentCommon];2;1;0;-1;-1
0;[AgentCommon, AgentCommon, AgentCommon, AgentCommon, AgentCommon, AgentCommon];[AgentCommon, AgentCommon];2;2;4;-1;-1
1;[AgentCommon, AgentCommon, AgentCommon, AgentCommon, AgentCommon, AgentCommon];[AgentCommon, AgentCommon];0;2;8;-1;-1
